0,1,2,3,4,5
ALASKA,AK,BACHELOR'S,MEXICO,MALE,1
ALASKA,AK,BACHELOR'S,MONGOLIA,MALE,1
ALASKA,AK,BACHELOR'S,NIGERIA,MALE,1
ALASKA,AK,BACHELOR'S,NORWAY,MALE,2
ALASKA,AK,BACHELOR'S,PAKISTAN,MALE,1
ALASKA,AK,BACHELOR'S,PHILIPPINES,MALE,1
ALASKA,AK,BACHELOR'S,RUSSIA,MALE,1
ALASKA,AK,BACHELOR'S,SOUTH KOREA,MALE,7
ALASKA,AK,BACHELOR'S,TAIWAN,MALE,2
ALASKA,AK,BACHELOR'S,VIETNAM,MALE,1
ALASKA,AK,DOCTORATE,BANGLADESH,MALE,1
ALASKA,AK,DOCTORATE,CANADA,MALE,1
ALASKA,AK,DOCTORATE,CHINA,MALE,5
ALASKA,AK,DOCTORATE,COLOMBIA,MALE,2
ALASKA,AK,DOCTORATE,EGYPT,MALE,1
ALASKA,AK,DOCTORATE,FRANCE,MALE,1
ALASKA,AK,DOCTORATE,GHANA,MALE,6
ALASKA,AK,DOCTORATE,INDIA,MALE,10
ALASKA,AK,DOCTORATE,INDONESIA,MALE,1
ALASKA,AK,DOCTORATE,KENYA,MALE,2
ALASKA,AK,DOCTORATE,NEPAL,MALE,2
ALASKA,AK,DOCTORATE,NIGERIA,MALE,3
ALASKA,AK,DOCTORATE,PAKISTAN,MALE,1
ALASKA,AK,DOCTORATE,PHILIPPINES,MALE,1
ALASKA,AK,DOCTORATE,SLOVAKIA,MALE,1
ALASKA,AK,DOCTORATE,SOUTH KOREA,MALE,1
ALASKA,AK,DOCTORATE,SRI LANKA,MALE,1
ALASKA,AK,DOCTORATE,UKRAINE,MALE,1
ALASKA,AK,MASTER'S,BANGLADESH,MALE,7
ALASKA,AK,MASTER'S,CANADA,MALE,1
ALASKA,AK,MASTER'S,CHINA,MALE,2
ALASKA,AK,MASTER'S,EGYPT,MALE,1
ALASKA,AK,MASTER'S,ESTONIA,MALE,1
ALASKA,AK,MASTER'S,GHANA,MALE,7
ALASKA,AK,MASTER'S,GUINEA,MALE,1
ALASKA,AK,MASTER'S,INDIA,MALE,15
ALASKA,AK,MASTER'S,ITALY,MALE,1
ALASKA,AK,MASTER'S,MEXICO,MALE,1
ALASKA,AK,MASTER'S,NEPAL,MALE,7
ALASKA,AK,MASTER'S,NEW ZEALAND,MALE,2
ALASKA,AK,MASTER'S,NIGERIA,MALE,1
ALASKA,AK,MASTER'S,RWANDA,MALE,1
ALASKA,AK,MASTER'S,SURINAME,MALE,1
ALASKA,AK,MASTER'S,UNITED KINGDOM,MALE,1
ALASKA,AK,MASTER'S,ZIMBABWE,MALE,1
ALABAMA,AL,ASSOCIATE,BRAZIL,FEMALE,1
ALABAMA,AL,ASSOCIATE,CHINA,FEMALE,1
ALABAMA,AL,ASSOCIATE,CONGO (KINSHASA),FEMALE,1
ALABAMA,AL,ASSOCIATE,INDIA,FEMALE,5
ALABAMA,AL,ASSOCIATE,NEPAL,FEMALE,1
ALABAMA,AL,ASSOCIATE,NIGERIA,FEMALE,1
ALABAMA,AL,ASSOCIATE,PAKISTAN,FEMALE,1
ALABAMA,AL,ASSOCIATE,PHILIPPINES,FEMALE,3
ALABAMA,AL,ASSOCIATE,VIETNAM,FEMALE,2
ALABAMA,AL,BACHELOR'S,AFGHANISTAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,ALBANIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,ARGENTINA,FEMALE,2
ALABAMA,AL,BACHELOR'S,AUSTRALIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,AUSTRIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,AZERBAIJAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,"BAHAMAS, THE",FEMALE,24
ALABAMA,AL,BACHELOR'S,BANGLADESH,FEMALE,5
ALABAMA,AL,BACHELOR'S,BARBADOS,FEMALE,1
ALABAMA,AL,BACHELOR'S,BERMUDA,FEMALE,4
ALABAMA,AL,BACHELOR'S,BOLIVIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,BRAZIL,FEMALE,2
ALABAMA,AL,BACHELOR'S,BURKINA FASO,FEMALE,1
ALABAMA,AL,BACHELOR'S,BURMA,FEMALE,2
ALABAMA,AL,BACHELOR'S,BURUNDI,FEMALE,2
ALABAMA,AL,BACHELOR'S,CANADA,FEMALE,24
ALABAMA,AL,BACHELOR'S,CHILE,FEMALE,1
ALABAMA,AL,BACHELOR'S,CHINA,FEMALE,12
ALABAMA,AL,BACHELOR'S,CONGO (KINSHASA),FEMALE,8
ALABAMA,AL,BACHELOR'S,COSTA RICA,FEMALE,1
ALABAMA,AL,BACHELOR'S,CZECH REPUBLIC,FEMALE,1
ALABAMA,AL,BACHELOR'S,DENMARK,FEMALE,2
ALABAMA,AL,BACHELOR'S,DOMINICAN REPUBLIC,FEMALE,8
ALABAMA,AL,BACHELOR'S,ECUADOR,FEMALE,2
ALABAMA,AL,BACHELOR'S,EGYPT,FEMALE,1
ALABAMA,AL,BACHELOR'S,ETHIOPIA,FEMALE,4
ALABAMA,AL,BACHELOR'S,FINLAND,FEMALE,1
ALABAMA,AL,BACHELOR'S,FRANCE,FEMALE,3
ALABAMA,AL,BACHELOR'S,GERMANY,FEMALE,7
ALABAMA,AL,BACHELOR'S,GUATEMALA,FEMALE,1
ALABAMA,AL,BACHELOR'S,GUYANA,FEMALE,1
ALABAMA,AL,BACHELOR'S,HAITI,FEMALE,1
ALABAMA,AL,BACHELOR'S,HONDURAS,FEMALE,2
ALABAMA,AL,BACHELOR'S,HUNGARY,FEMALE,1
ALABAMA,AL,BACHELOR'S,ICELAND,FEMALE,1
ALABAMA,AL,BACHELOR'S,INDIA,FEMALE,46
ALABAMA,AL,BACHELOR'S,INDONESIA,FEMALE,7
ALABAMA,AL,BACHELOR'S,IRAQ,FEMALE,1
ALABAMA,AL,BACHELOR'S,ITALY,FEMALE,2
ALABAMA,AL,BACHELOR'S,JAMAICA,FEMALE,31
ALABAMA,AL,BACHELOR'S,JAPAN,FEMALE,3
ALABAMA,AL,BACHELOR'S,KENYA,FEMALE,7
ALABAMA,AL,BACHELOR'S,KUWAIT,FEMALE,3
ALABAMA,AL,BACHELOR'S,KYRGYZSTAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,LIBERIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,MEXICO,FEMALE,5
ALABAMA,AL,BACHELOR'S,MOLDOVA,FEMALE,1
ALABAMA,AL,BACHELOR'S,MOROCCO,FEMALE,1
ALABAMA,AL,BACHELOR'S,NEPAL,FEMALE,21
ALABAMA,AL,BACHELOR'S,NETHERLANDS,FEMALE,2
ALABAMA,AL,BACHELOR'S,NIGERIA,FEMALE,33
ALABAMA,AL,BACHELOR'S,PAKISTAN,FEMALE,4
ALABAMA,AL,BACHELOR'S,PANAMA,FEMALE,2
ALABAMA,AL,BACHELOR'S,PERU,FEMALE,1
ALABAMA,AL,BACHELOR'S,RUSSIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,SAUDI ARABIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,SENEGAL,FEMALE,1
ALABAMA,AL,BACHELOR'S,SERBIA,FEMALE,2
ALABAMA,AL,BACHELOR'S,SIERRA LEONE,FEMALE,1
ALABAMA,AL,BACHELOR'S,SINGAPORE,FEMALE,2
ALABAMA,AL,BACHELOR'S,SOUTH AFRICA,FEMALE,4
ALABAMA,AL,BACHELOR'S,SOUTH KOREA,FEMALE,22
ALABAMA,AL,BACHELOR'S,SPAIN,FEMALE,10
ALABAMA,AL,BACHELOR'S,SRI LANKA,FEMALE,2
ALABAMA,AL,BACHELOR'S,SWEDEN,FEMALE,4
ALABAMA,AL,BACHELOR'S,TAIWAN,FEMALE,3
ALABAMA,AL,BACHELOR'S,TANZANIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,THAILAND,FEMALE,3
ALABAMA,AL,BACHELOR'S,TRINIDAD AND TOBAGO,FEMALE,3
ALABAMA,AL,BACHELOR'S,TUNISIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,TURKEY,FEMALE,2
ALABAMA,AL,BACHELOR'S,TURKMENISTAN,FEMALE,2
ALABAMA,AL,BACHELOR'S,UGANDA,FEMALE,1
ALABAMA,AL,BACHELOR'S,UNITED KINGDOM,FEMALE,9
ALABAMA,AL,BACHELOR'S,VENEZUELA,FEMALE,1
ALABAMA,AL,BACHELOR'S,VIETNAM,FEMALE,26
ALABAMA,AL,BACHELOR'S,ZAMBIA,FEMALE,4
ALABAMA,AL,BACHELOR'S,ZIMBABWE,FEMALE,6
ALABAMA,AL,DOCTORATE,ALBANIA,FEMALE,1
ALABAMA,AL,DOCTORATE,"BAHAMAS, THE",FEMALE,2
ALABAMA,AL,DOCTORATE,BAHRAIN,FEMALE,1
ALABAMA,AL,DOCTORATE,BANGLADESH,FEMALE,70
ALABAMA,AL,DOCTORATE,BELIZE,FEMALE,1
ALABAMA,AL,DOCTORATE,BOLIVIA,FEMALE,1
ALABAMA,AL,DOCTORATE,BRAZIL,FEMALE,21
ALABAMA,AL,DOCTORATE,BULGARIA,FEMALE,1
ALABAMA,AL,DOCTORATE,CAMEROON,FEMALE,2
ALABAMA,AL,DOCTORATE,CANADA,FEMALE,2
ALABAMA,AL,DOCTORATE,CHILE,FEMALE,2
ALABAMA,AL,DOCTORATE,CHINA,FEMALE,92
ALABAMA,AL,DOCTORATE,COLOMBIA,FEMALE,6
ALABAMA,AL,DOCTORATE,CONGO (KINSHASA),FEMALE,2
ALABAMA,AL,DOCTORATE,COSTA RICA,FEMALE,1
ALABAMA,AL,DOCTORATE,COTE D'IVOIRE,FEMALE,1
ALABAMA,AL,DOCTORATE,DENMARK,FEMALE,1
ALABAMA,AL,DOCTORATE,ECUADOR,FEMALE,3
ALABAMA,AL,DOCTORATE,EGYPT,FEMALE,8
ALABAMA,AL,DOCTORATE,EL SALVADOR,FEMALE,1
ALABAMA,AL,DOCTORATE,ETHIOPIA,FEMALE,3
ALABAMA,AL,DOCTORATE,GERMANY,FEMALE,3
ALABAMA,AL,DOCTORATE,GHANA,FEMALE,32
ALABAMA,AL,DOCTORATE,GREECE,FEMALE,3
ALABAMA,AL,DOCTORATE,GUYANA,FEMALE,1
ALABAMA,AL,DOCTORATE,HAITI,FEMALE,2
ALABAMA,AL,DOCTORATE,HONDURAS,FEMALE,3
ALABAMA,AL,DOCTORATE,INDIA,FEMALE,152
ALABAMA,AL,DOCTORATE,INDONESIA,FEMALE,3
ALABAMA,AL,DOCTORATE,IRAN,FEMALE,65
ALABAMA,AL,DOCTORATE,IRAQ,FEMALE,1
ALABAMA,AL,DOCTORATE,ITALY,FEMALE,2
ALABAMA,AL,DOCTORATE,JAMAICA,FEMALE,1
ALABAMA,AL,DOCTORATE,JAPAN,FEMALE,1
ALABAMA,AL,DOCTORATE,JORDAN,FEMALE,13
ALABAMA,AL,DOCTORATE,KAZAKHSTAN,FEMALE,1
ALABAMA,AL,DOCTORATE,LEBANON,FEMALE,3
ALABAMA,AL,DOCTORATE,LIBERIA,FEMALE,1
ALABAMA,AL,DOCTORATE,MALAYSIA,FEMALE,1
ALABAMA,AL,DOCTORATE,MEXICO,FEMALE,4
ALABAMA,AL,DOCTORATE,MOLDOVA,FEMALE,1
ALABAMA,AL,DOCTORATE,MONGOLIA,FEMALE,1
ALABAMA,AL,DOCTORATE,NEPAL,FEMALE,35
ALABAMA,AL,DOCTORATE,NETHERLANDS,FEMALE,1
ALABAMA,AL,DOCTORATE,NIGERIA,FEMALE,57
ALABAMA,AL,DOCTORATE,PAKISTAN,FEMALE,17
ALABAMA,AL,DOCTORATE,PANAMA,FEMALE,1
ALABAMA,AL,DOCTORATE,PHILIPPINES,FEMALE,2
ALABAMA,AL,DOCTORATE,POLAND,FEMALE,3
ALABAMA,AL,DOCTORATE,RUSSIA,FEMALE,6
ALABAMA,AL,DOCTORATE,RWANDA,FEMALE,1
ALABAMA,AL,DOCTORATE,SAUDI ARABIA,FEMALE,3
ALABAMA,AL,DOCTORATE,SERBIA,FEMALE,1
ALABAMA,AL,DOCTORATE,SOUTH AFRICA,FEMALE,3
ALABAMA,AL,DOCTORATE,SOUTH KOREA,FEMALE,10
ALABAMA,AL,DOCTORATE,SPAIN,FEMALE,2
ALABAMA,AL,DOCTORATE,SRI LANKA,FEMALE,16
ALABAMA,AL,DOCTORATE,SURINAME,FEMALE,2
ALABAMA,AL,DOCTORATE,SWITZERLAND,FEMALE,1
ALABAMA,AL,DOCTORATE,TAIWAN,FEMALE,8
ALABAMA,AL,DOCTORATE,TANZANIA,FEMALE,6
ALABAMA,AL,DOCTORATE,THAILAND,FEMALE,3
ALABAMA,AL,DOCTORATE,TRINIDAD AND TOBAGO,FEMALE,1
ALABAMA,AL,DOCTORATE,TURKEY,FEMALE,5
ALABAMA,AL,DOCTORATE,UGANDA,FEMALE,1
ALABAMA,AL,DOCTORATE,VIETNAM,FEMALE,10
ALABAMA,AL,DOCTORATE,ZAMBIA,FEMALE,1
ALABAMA,AL,MASTER'S,ANTIGUA AND BARBUDA,FEMALE,1
ALABAMA,AL,MASTER'S,AUSTRALIA,FEMALE,1
ALABAMA,AL,MASTER'S,BANGLADESH,FEMALE,48
ALABAMA,AL,MASTER'S,BELGIUM,FEMALE,1
ALABAMA,AL,MASTER'S,BOLIVIA,FEMALE,1
ALABAMA,AL,MASTER'S,BRAZIL,FEMALE,12
ALABAMA,AL,MASTER'S,BURMA,FEMALE,1
ALABAMA,AL,MASTER'S,CAMBODIA,FEMALE,1
ALABAMA,AL,MASTER'S,CANADA,FEMALE,9
ALABAMA,AL,MASTER'S,CHILE,FEMALE,2
ALABAMA,AL,MASTER'S,CHINA,FEMALE,26
ALABAMA,AL,MASTER'S,COLOMBIA,FEMALE,8
ALABAMA,AL,MASTER'S,COSTA RICA,FEMALE,3
ALABAMA,AL,MASTER'S,COTE D'IVOIRE,FEMALE,1
ALABAMA,AL,MASTER'S,CZECH REPUBLIC,FEMALE,2
ALABAMA,AL,MASTER'S,DENMARK,FEMALE,1
ALABAMA,AL,MASTER'S,DOMINICAN REPUBLIC,FEMALE,1
ALABAMA,AL,MASTER'S,ECUADOR,FEMALE,1
ALABAMA,AL,MASTER'S,EGYPT,FEMALE,1
ALABAMA,AL,MASTER'S,EL SALVADOR,FEMALE,4
ALABAMA,AL,MASTER'S,ESTONIA,FEMALE,1
ALABAMA,AL,MASTER'S,FINLAND,FEMALE,1
ALABAMA,AL,MASTER'S,FRANCE,FEMALE,3
ALABAMA,AL,MASTER'S,GERMANY,FEMALE,1
ALABAMA,AL,MASTER'S,GHANA,FEMALE,14
ALABAMA,AL,MASTER'S,GUATEMALA,FEMALE,3
ALABAMA,AL,MASTER'S,GUYANA,FEMALE,1
ALABAMA,AL,MASTER'S,HAITI,FEMALE,1
ALABAMA,AL,MASTER'S,HONDURAS,FEMALE,10
ALABAMA,AL,MASTER'S,INDIA,FEMALE,939
ALABAMA,AL,MASTER'S,INDONESIA,FEMALE,1
ALABAMA,AL,MASTER'S,IRAN,FEMALE,9
ALABAMA,AL,MASTER'S,ITALY,FEMALE,2
ALABAMA,AL,MASTER'S,JAMAICA,FEMALE,5
ALABAMA,AL,MASTER'S,JAPAN,FEMALE,2
ALABAMA,AL,MASTER'S,KENYA,FEMALE,11
ALABAMA,AL,MASTER'S,KYRGYZSTAN,FEMALE,2
ALABAMA,AL,MASTER'S,LIBYA,FEMALE,1
ALABAMA,AL,MASTER'S,MALAWI,FEMALE,1
ALABAMA,AL,MASTER'S,MALAYSIA,FEMALE,1
ALABAMA,AL,MASTER'S,MOROCCO,FEMALE,1
ALABAMA,AL,MASTER'S,NEPAL,FEMALE,48
ALABAMA,AL,MASTER'S,NICARAGUA,FEMALE,1
ALABAMA,AL,MASTER'S,NIGERIA,FEMALE,22
ALABAMA,AL,MASTER'S,PAKISTAN,FEMALE,6
ALABAMA,AL,MASTER'S,PAPUA NEW GUINEA,FEMALE,1
ALABAMA,AL,MASTER'S,POLAND,FEMALE,1
ALABAMA,AL,MASTER'S,RUSSIA,FEMALE,1
ALABAMA,AL,MASTER'S,RWANDA,FEMALE,3
ALABAMA,AL,MASTER'S,SAINT LUCIA,FEMALE,1
ALABAMA,AL,MASTER'S,SAUDI ARABIA,FEMALE,1
ALABAMA,AL,MASTER'S,SINGAPORE,FEMALE,3
ALABAMA,AL,MASTER'S,SOUTH AFRICA,FEMALE,1
ALABAMA,AL,MASTER'S,SOUTH KOREA,FEMALE,15
ALABAMA,AL,MASTER'S,SPAIN,FEMALE,5
ALABAMA,AL,MASTER'S,SRI LANKA,FEMALE,5
ALABAMA,AL,MASTER'S,SUDAN,FEMALE,1
ALABAMA,AL,MASTER'S,SWITZERLAND,FEMALE,1
ALABAMA,AL,MASTER'S,TAIWAN,FEMALE,5
ALABAMA,AL,MASTER'S,TANZANIA,FEMALE,1
ALABAMA,AL,MASTER'S,THAILAND,FEMALE,1
ALABAMA,AL,MASTER'S,TOGO,FEMALE,1
ALABAMA,AL,MASTER'S,TRINIDAD AND TOBAGO,FEMALE,1
ALABAMA,AL,MASTER'S,TURKEY,FEMALE,2
ALABAMA,AL,MASTER'S,UKRAINE,FEMALE,1
ALABAMA,AL,MASTER'S,UNITED KINGDOM,FEMALE,1
ALABAMA,AL,MASTER'S,VENEZUELA,FEMALE,1
ALABAMA,AL,MASTER'S,VIETNAM,FEMALE,12
ALABAMA,AL,MASTER'S,ZIMBABWE,FEMALE,3
ALABAMA,AL,OTHER,BOLIVIA,FEMALE,1
ALABAMA,AL,OTHER,CHINA,FEMALE,3
ALABAMA,AL,OTHER,INDIA,FEMALE,2
ALABAMA,AL,OTHER,SOUTH KOREA,FEMALE,1
ALABAMA,AL,ASSOCIATE,BANGLADESH,MALE,1
ALABAMA,AL,ASSOCIATE,BARBADOS,MALE,1
ALABAMA,AL,ASSOCIATE,BERMUDA,MALE,1
ALABAMA,AL,ASSOCIATE,BRAZIL,MALE,1
ALABAMA,AL,ASSOCIATE,BURKINA FASO,MALE,1
ALABAMA,AL,ASSOCIATE,EQUATORIAL GUINEA,MALE,1
ALABAMA,AL,ASSOCIATE,HAITI,MALE,1
ALABAMA,AL,ASSOCIATE,INDIA,MALE,1
ALABAMA,AL,ASSOCIATE,KENYA,MALE,5
ALABAMA,AL,ASSOCIATE,MEXICO,MALE,1
ALABAMA,AL,ASSOCIATE,NEPAL,MALE,3
ALABAMA,AL,ASSOCIATE,PAKISTAN,MALE,3
ALABAMA,AL,ASSOCIATE,PHILIPPINES,MALE,2
ALABAMA,AL,ASSOCIATE,ROMANIA,MALE,2
ALABAMA,AL,ASSOCIATE,SOUTH AFRICA,MALE,1
ALABAMA,AL,ASSOCIATE,SOUTH KOREA,MALE,1
ALABAMA,AL,ASSOCIATE,SPAIN,MALE,1
ALABAMA,AL,ASSOCIATE,TAIWAN,MALE,1
ALABAMA,AL,ASSOCIATE,TOGO,MALE,1
ALABAMA,AL,ASSOCIATE,TURKEY,MALE,1
ALABAMA,AL,ASSOCIATE,UGANDA,MALE,1
ALABAMA,AL,ASSOCIATE,VIETNAM,MALE,3
ALABAMA,AL,BACHELOR'S,ALGERIA,MALE,1
ALABAMA,AL,BACHELOR'S,ANGOLA,MALE,1
ALABAMA,AL,BACHELOR'S,ARGENTINA,MALE,3
ALABAMA,AL,BACHELOR'S,AUSTRALIA,MALE,5
ALABAMA,AL,BACHELOR'S,AZERBAIJAN,MALE,8
ALABAMA,AL,BACHELOR'S,"BAHAMAS, THE",MALE,17
ALABAMA,AL,BACHELOR'S,BAHRAIN,MALE,2
ALABAMA,AL,BACHELOR'S,BANGLADESH,MALE,20
ALABAMA,AL,BACHELOR'S,BARBADOS,MALE,1
ALABAMA,AL,BACHELOR'S,BELIZE,MALE,1
ALABAMA,AL,BACHELOR'S,BERMUDA,MALE,1
ALABAMA,AL,BACHELOR'S,BOLIVIA,MALE,2
ALABAMA,AL,BACHELOR'S,BRAZIL,MALE,16
ALABAMA,AL,BACHELOR'S,BULGARIA,MALE,1
ALABAMA,AL,BACHELOR'S,BURMA,MALE,2
ALABAMA,AL,BACHELOR'S,CAMBODIA,MALE,1
ALABAMA,AL,BACHELOR'S,CAMEROON,MALE,4
ALABAMA,AL,BACHELOR'S,CANADA,MALE,13
ALABAMA,AL,BACHELOR'S,CHILE,MALE,5
ALABAMA,AL,BACHELOR'S,CHINA,MALE,61
ALABAMA,AL,BACHELOR'S,COLOMBIA,MALE,5
ALABAMA,AL,BACHELOR'S,CONGO (KINSHASA),MALE,11
ALABAMA,AL,BACHELOR'S,COSTA RICA,MALE,2
ALABAMA,AL,BACHELOR'S,CROATIA,MALE,1
ALABAMA,AL,BACHELOR'S,CYPRUS,MALE,2
ALABAMA,AL,BACHELOR'S,DOMINICAN REPUBLIC,MALE,13
ALABAMA,AL,BACHELOR'S,ECUADOR,MALE,3
ALABAMA,AL,BACHELOR'S,EGYPT,MALE,2
ALABAMA,AL,BACHELOR'S,ETHIOPIA,MALE,5
ALABAMA,AL,BACHELOR'S,FIJI,MALE,1
ALABAMA,AL,BACHELOR'S,FINLAND,MALE,2
ALABAMA,AL,BACHELOR'S,FRANCE,MALE,11
ALABAMA,AL,BACHELOR'S,GERMANY,MALE,3
ALABAMA,AL,BACHELOR'S,GHANA,MALE,11
ALABAMA,AL,BACHELOR'S,GREECE,MALE,2
ALABAMA,AL,BACHELOR'S,HAITI,MALE,1
ALABAMA,AL,BACHELOR'S,HONDURAS,MALE,6
ALABAMA,AL,BACHELOR'S,HONG KONG,MALE,1
ALABAMA,AL,BACHELOR'S,HUNGARY,MALE,1
ALABAMA,AL,BACHELOR'S,INDIA,MALE,117
ALABAMA,AL,BACHELOR'S,INDONESIA,MALE,2
ALABAMA,AL,BACHELOR'S,IRAN,MALE,2
ALABAMA,AL,BACHELOR'S,IRELAND,MALE,1
ALABAMA,AL,BACHELOR'S,ISRAEL,MALE,2
ALABAMA,AL,BACHELOR'S,ITALY,MALE,5
ALABAMA,AL,BACHELOR'S,JAMAICA,MALE,8
ALABAMA,AL,BACHELOR'S,JAPAN,MALE,10
ALABAMA,AL,BACHELOR'S,JORDAN,MALE,2
ALABAMA,AL,BACHELOR'S,KAZAKHSTAN,MALE,2
ALABAMA,AL,BACHELOR'S,KENYA,MALE,6
ALABAMA,AL,BACHELOR'S,KUWAIT,MALE,11
ALABAMA,AL,BACHELOR'S,LITHUANIA,MALE,1
ALABAMA,AL,BACHELOR'S,MALAYSIA,MALE,2
ALABAMA,AL,BACHELOR'S,MEXICO,MALE,5
ALABAMA,AL,BACHELOR'S,MONGOLIA,MALE,1
ALABAMA,AL,BACHELOR'S,NEPAL,MALE,61
ALABAMA,AL,BACHELOR'S,NEW ZEALAND,MALE,1
ALABAMA,AL,BACHELOR'S,NIGERIA,MALE,61
ALABAMA,AL,BACHELOR'S,OMAN,MALE,5
ALABAMA,AL,BACHELOR'S,PAKISTAN,MALE,12
ALABAMA,AL,BACHELOR'S,PANAMA,MALE,3
ALABAMA,AL,BACHELOR'S,PERU,MALE,4
ALABAMA,AL,BACHELOR'S,POLAND,MALE,1
ALABAMA,AL,BACHELOR'S,PORTUGAL,MALE,2
ALABAMA,AL,BACHELOR'S,ROMANIA,MALE,1
ALABAMA,AL,BACHELOR'S,RUSSIA,MALE,6
ALABAMA,AL,BACHELOR'S,SAINT LUCIA,MALE,1
ALABAMA,AL,BACHELOR'S,SAUDI ARABIA,MALE,7
ALABAMA,AL,BACHELOR'S,SERBIA,MALE,1
ALABAMA,AL,BACHELOR'S,SINGAPORE,MALE,3
ALABAMA,AL,BACHELOR'S,SOUTH AFRICA,MALE,5
ALABAMA,AL,BACHELOR'S,SOUTH KOREA,MALE,86
ALABAMA,AL,BACHELOR'S,SPAIN,MALE,10
ALABAMA,AL,BACHELOR'S,SRI LANKA,MALE,2
ALABAMA,AL,BACHELOR'S,SWEDEN,MALE,1
ALABAMA,AL,BACHELOR'S,SYRIA,MALE,1
