State,Abbrv,Student Education Level,CoC,Gender,Count of Active STEM Students
ALABAMA,AL,BACHELOR'S,CAMEROON,MALE,2
ALABAMA,AL,BACHELOR'S,CANADA,FEMALE,25
ALABAMA,AL,BACHELOR'S,CANADA,MALE,12
ALABAMA,AL,BACHELOR'S,CHILE,FEMALE,1
ALABAMA,AL,BACHELOR'S,CHILE,MALE,2
ALABAMA,AL,BACHELOR'S,CHINA,FEMALE,29
ALABAMA,AL,BACHELOR'S,CHINA,MALE,230
ALABAMA,AL,BACHELOR'S,CHINA,OTHER,1
ALABAMA,AL,BACHELOR'S,COLOMBIA,FEMALE,3
ALABAMA,AL,BACHELOR'S,COLOMBIA,MALE,6
ALABAMA,AL,BACHELOR'S,CONGO (KINSHASA),FEMALE,5
ALABAMA,AL,BACHELOR'S,CYPRUS,MALE,1
ALABAMA,AL,BACHELOR'S,DENMARK,FEMALE,2
ALABAMA,AL,BACHELOR'S,DOMINICAN REPUBLIC,FEMALE,2
ALABAMA,AL,BACHELOR'S,DOMINICAN REPUBLIC,MALE,4
ALABAMA,AL,BACHELOR'S,ECUADOR,FEMALE,2
ALABAMA,AL,BACHELOR'S,ECUADOR,MALE,3
ALABAMA,AL,BACHELOR'S,EGYPT,MALE,4
ALABAMA,AL,BACHELOR'S,EL SALVADOR,MALE,1
ALABAMA,AL,BACHELOR'S,EQUATORIAL GUINEA,MALE,1
ALABAMA,AL,BACHELOR'S,ETHIOPIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,ETHIOPIA,MALE,3
ALABAMA,AL,BACHELOR'S,FRANCE,FEMALE,2
ALABAMA,AL,BACHELOR'S,FRANCE,MALE,3
ALABAMA,AL,BACHELOR'S,GERMANY,FEMALE,3
ALABAMA,AL,BACHELOR'S,GERMANY,MALE,7
ALABAMA,AL,BACHELOR'S,GHANA,MALE,4
ALABAMA,AL,BACHELOR'S,GREECE,MALE,1
ALABAMA,AL,BACHELOR'S,GRENADA,MALE,1
ALABAMA,AL,BACHELOR'S,GUATEMALA,MALE,3
ALABAMA,AL,BACHELOR'S,GUINEA-BISSAU,FEMALE,1
ALABAMA,AL,BACHELOR'S,GUINEA-BISSAU,MALE,1
ALABAMA,AL,BACHELOR'S,GUYANA,MALE,1
ALABAMA,AL,BACHELOR'S,HAITI,FEMALE,1
ALABAMA,AL,BACHELOR'S,HONDURAS,MALE,4
ALABAMA,AL,BACHELOR'S,HONG KONG,FEMALE,2
ALABAMA,AL,BACHELOR'S,HONG KONG,MALE,1
ALABAMA,AL,BACHELOR'S,HUNGARY,FEMALE,1
ALABAMA,AL,BACHELOR'S,INDIA,FEMALE,31
ALABAMA,AL,BACHELOR'S,INDIA,MALE,106
ALABAMA,AL,BACHELOR'S,INDONESIA,FEMALE,6
ALABAMA,AL,BACHELOR'S,INDONESIA,MALE,5
ALABAMA,AL,BACHELOR'S,IRAQ,MALE,1
ALABAMA,AL,BACHELOR'S,ISRAEL,MALE,1
ALABAMA,AL,BACHELOR'S,ITALY,FEMALE,2
ALABAMA,AL,BACHELOR'S,ITALY,MALE,1
ALABAMA,AL,BACHELOR'S,JAMAICA,FEMALE,6
ALABAMA,AL,BACHELOR'S,JAMAICA,MALE,5
ALABAMA,AL,BACHELOR'S,JAPAN,FEMALE,6
ALABAMA,AL,BACHELOR'S,JAPAN,MALE,11
ALABAMA,AL,BACHELOR'S,JORDAN,MALE,2
ALABAMA,AL,BACHELOR'S,KAZAKHSTAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,KAZAKHSTAN,MALE,1
ALABAMA,AL,BACHELOR'S,KENYA,FEMALE,3
ALABAMA,AL,BACHELOR'S,KENYA,MALE,11
ALABAMA,AL,BACHELOR'S,KUWAIT,FEMALE,2
ALABAMA,AL,BACHELOR'S,KUWAIT,MALE,129
ALABAMA,AL,BACHELOR'S,KYRGYZSTAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,KYRGYZSTAN,MALE,1
ALABAMA,AL,BACHELOR'S,MACAU,MALE,2
ALABAMA,AL,BACHELOR'S,MALAYSIA,MALE,4
ALABAMA,AL,BACHELOR'S,MARTINIQUE,FEMALE,1
ALABAMA,AL,BACHELOR'S,MEXICO,FEMALE,3
ALABAMA,AL,BACHELOR'S,MEXICO,MALE,7
ALABAMA,AL,BACHELOR'S,NEPAL,FEMALE,9
ALABAMA,AL,BACHELOR'S,NEPAL,MALE,31
ALABAMA,AL,BACHELOR'S,NETHERLANDS,FEMALE,1
ALABAMA,AL,BACHELOR'S,NETHERLANDS,MALE,1
ALABAMA,AL,BACHELOR'S,NEW ZEALAND,FEMALE,1
ALABAMA,AL,BACHELOR'S,NEW ZEALAND,MALE,1
ALABAMA,AL,BACHELOR'S,NIGERIA,FEMALE,12
ALABAMA,AL,BACHELOR'S,NIGERIA,MALE,38
ALABAMA,AL,BACHELOR'S,NORWAY,FEMALE,1
ALABAMA,AL,BACHELOR'S,NORWAY,MALE,2
ALABAMA,AL,BACHELOR'S,OMAN,FEMALE,2
ALABAMA,AL,BACHELOR'S,OMAN,MALE,20
ALABAMA,AL,BACHELOR'S,PAKISTAN,FEMALE,2
ALABAMA,AL,BACHELOR'S,PAKISTAN,MALE,10
ALABAMA,AL,BACHELOR'S,PANAMA,FEMALE,1
ALABAMA,AL,BACHELOR'S,PANAMA,MALE,3
ALABAMA,AL,BACHELOR'S,PARAGUAY,FEMALE,2
ALABAMA,AL,BACHELOR'S,PERU,FEMALE,1
ALABAMA,AL,BACHELOR'S,PERU,MALE,2
ALABAMA,AL,BACHELOR'S,PHILIPPINES,FEMALE,1
ALABAMA,AL,BACHELOR'S,PHILIPPINES,MALE,1
ALABAMA,AL,BACHELOR'S,POLAND,FEMALE,1
ALABAMA,AL,BACHELOR'S,POLAND,MALE,1
ALABAMA,AL,BACHELOR'S,PORTUGAL,MALE,2
ALABAMA,AL,BACHELOR'S,QATAR,MALE,2
ALABAMA,AL,BACHELOR'S,SOUTH KOREA,FEMALE,27
ALABAMA,AL,BACHELOR'S,SOUTH KOREA,MALE,89
ALABAMA,AL,BACHELOR'S,RUSSIA,MALE,2
ALABAMA,AL,BACHELOR'S,SAINT LUCIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,SAINT LUCIA,MALE,1
ALABAMA,AL,BACHELOR'S,SAINT PIERRE AND MIQUELON,MALE,1
ALABAMA,AL,BACHELOR'S,SAINT VINCENT AND THE GRENADINES,FEMALE,1
ALABAMA,AL,BACHELOR'S,SAUDI ARABIA,FEMALE,4
ALABAMA,AL,BACHELOR'S,SAUDI ARABIA,MALE,45
ALABAMA,AL,BACHELOR'S,SERBIA,MALE,1
ALABAMA,AL,BACHELOR'S,SOUTH AFRICA,FEMALE,2
ALABAMA,AL,BACHELOR'S,SOUTH AFRICA,MALE,3
ALABAMA,AL,BACHELOR'S,SPAIN,FEMALE,9
ALABAMA,AL,BACHELOR'S,SPAIN,MALE,4
ALABAMA,AL,BACHELOR'S,SRI LANKA,MALE,1
ALABAMA,AL,BACHELOR'S,SUDAN,MALE,1
ALABAMA,AL,BACHELOR'S,SWEDEN,MALE,4
ALABAMA,AL,BACHELOR'S,SYRIA,MALE,1
ALABAMA,AL,BACHELOR'S,TAIWAN,FEMALE,3
ALABAMA,AL,BACHELOR'S,TAIWAN,MALE,2
ALABAMA,AL,BACHELOR'S,TANZANIA,MALE,2
ALABAMA,AL,BACHELOR'S,THAILAND,MALE,3
ALABAMA,AL,BACHELOR'S,TRINIDAD AND TOBAGO,MALE,2
ALABAMA,AL,BACHELOR'S,TURKEY,FEMALE,2
ALABAMA,AL,BACHELOR'S,TURKEY,MALE,5
ALABAMA,AL,BACHELOR'S,TURKMENISTAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,TURKMENISTAN,MALE,2
ALABAMA,AL,BACHELOR'S,UGANDA,FEMALE,3
ALABAMA,AL,BACHELOR'S,UGANDA,MALE,1
ALABAMA,AL,BACHELOR'S,UKRAINE,FEMALE,2
ALABAMA,AL,BACHELOR'S,UKRAINE,MALE,1
ALABAMA,AL,BACHELOR'S,UNITED ARAB EMIRATES,FEMALE,1
ALABAMA,AL,BACHELOR'S,UNITED ARAB EMIRATES,MALE,6
ALABAMA,AL,BACHELOR'S,UNITED KINGDOM,FEMALE,2
ALABAMA,AL,BACHELOR'S,UNITED KINGDOM,MALE,10
ALABAMA,AL,BACHELOR'S,URUGUAY,MALE,1
ALABAMA,AL,BACHELOR'S,UZBEKISTAN,MALE,1
ALABAMA,AL,BACHELOR'S,VENEZUELA,MALE,2
ALABAMA,AL,BACHELOR'S,VIETNAM,FEMALE,18
ALABAMA,AL,BACHELOR'S,VIETNAM,MALE,34
ALABAMA,AL,BACHELOR'S,YEMEN,MALE,1
ALABAMA,AL,BACHELOR'S,ZAMBIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,ZAMBIA,MALE,2
ALABAMA,AL,BACHELOR'S,ZIMBABWE,FEMALE,1
ALABAMA,AL,BACHELOR'S,ZIMBABWE,MALE,5
ALABAMA,AL,DOCTORATE,ALGERIA,MALE,1
ALABAMA,AL,DOCTORATE,ARGENTINA,MALE,1
ALABAMA,AL,DOCTORATE,ARMENIA,FEMALE,1
ALABAMA,AL,DOCTORATE,ARMENIA,MALE,1
ALABAMA,AL,DOCTORATE,AUSTRALIA,FEMALE,1
ALABAMA,AL,DOCTORATE,AZERBAIJAN,MALE,3
ALABAMA,AL,DOCTORATE,"BAHAMAS, THE",FEMALE,3
ALABAMA,AL,DOCTORATE,"BAHAMAS, THE",MALE,1
ALABAMA,AL,DOCTORATE,BANGLADESH,FEMALE,44
ALABAMA,AL,DOCTORATE,BANGLADESH,MALE,157
ALABAMA,AL,DOCTORATE,BELARUS,MALE,1
ALABAMA,AL,DOCTORATE,BELIZE,FEMALE,1
ALABAMA,AL,DOCTORATE,BOLIVIA,FEMALE,1
ALABAMA,AL,DOCTORATE,BRAZIL,FEMALE,15
ALABAMA,AL,DOCTORATE,BRAZIL,MALE,15
ALABAMA,AL,DOCTORATE,BURMA,MALE,1
ALABAMA,AL,DOCTORATE,CANADA,FEMALE,1
ALABAMA,AL,DOCTORATE,CANADA,MALE,4
ALABAMA,AL,DOCTORATE,CHILE,FEMALE,1
ALABAMA,AL,DOCTORATE,CHILE,MALE,6
ALABAMA,AL,DOCTORATE,CHINA,FEMALE,121
ALABAMA,AL,DOCTORATE,CHINA,MALE,216
ALABAMA,AL,DOCTORATE,COLOMBIA,FEMALE,5
ALABAMA,AL,DOCTORATE,COLOMBIA,MALE,5
ALABAMA,AL,DOCTORATE,CONGO (KINSHASA),MALE,1
ALABAMA,AL,DOCTORATE,COSTA RICA,MALE,1
ALABAMA,AL,DOCTORATE,COTE D'IVOIRE,FEMALE,1
ALABAMA,AL,DOCTORATE,COTE D'IVOIRE,MALE,1
ALABAMA,AL,DOCTORATE,CURACAO,MALE,1
ALABAMA,AL,DOCTORATE,CYPRUS,MALE,1
ALABAMA,AL,DOCTORATE,CZECH REPUBLIC,FEMALE,1
ALABAMA,AL,DOCTORATE,CZECH REPUBLIC,MALE,1
ALABAMA,AL,DOCTORATE,DOMINICAN REPUBLIC,FEMALE,1
ALABAMA,AL,DOCTORATE,ECUADOR,FEMALE,1
ALABAMA,AL,DOCTORATE,ECUADOR,MALE,2
ALABAMA,AL,DOCTORATE,EGYPT,FEMALE,1
ALABAMA,AL,DOCTORATE,EGYPT,MALE,9
ALABAMA,AL,DOCTORATE,EL SALVADOR,FEMALE,1
ALABAMA,AL,DOCTORATE,ETHIOPIA,FEMALE,4
ALABAMA,AL,DOCTORATE,ETHIOPIA,MALE,4
ALABAMA,AL,DOCTORATE,FRANCE,FEMALE,1
ALABAMA,AL,DOCTORATE,GERMANY,FEMALE,5
ALABAMA,AL,DOCTORATE,GERMANY,MALE,6
ALABAMA,AL,DOCTORATE,GHANA,FEMALE,15
ALABAMA,AL,DOCTORATE,GHANA,MALE,23
ALABAMA,AL,DOCTORATE,GREECE,MALE,7
ALABAMA,AL,DOCTORATE,HAITI,MALE,1
ALABAMA,AL,DOCTORATE,HONDURAS,FEMALE,3
ALABAMA,AL,DOCTORATE,HONDURAS,MALE,2
ALABAMA,AL,DOCTORATE,HONG KONG,MALE,1
ALABAMA,AL,DOCTORATE,INDIA,FEMALE,104
ALABAMA,AL,DOCTORATE,INDIA,MALE,192
ALABAMA,AL,DOCTORATE,INDONESIA,FEMALE,1
ALABAMA,AL,DOCTORATE,INDONESIA,MALE,4
ALABAMA,AL,DOCTORATE,IRAN,FEMALE,42
ALABAMA,AL,DOCTORATE,IRAN,MALE,72
ALABAMA,AL,DOCTORATE,IRAQ,FEMALE,1
ALABAMA,AL,DOCTORATE,IRAQ,MALE,1
ALABAMA,AL,DOCTORATE,ITALY,FEMALE,2
ALABAMA,AL,DOCTORATE,ITALY,MALE,2
ALABAMA,AL,DOCTORATE,JAMAICA,FEMALE,2
ALABAMA,AL,DOCTORATE,JAPAN,FEMALE,1
ALABAMA,AL,DOCTORATE,JAPAN,MALE,2
ALABAMA,AL,DOCTORATE,JORDAN,FEMALE,6
ALABAMA,AL,DOCTORATE,JORDAN,MALE,9
ALABAMA,AL,DOCTORATE,KENYA,FEMALE,1
ALABAMA,AL,DOCTORATE,KENYA,MALE,2
ALABAMA,AL,DOCTORATE,LATVIA,MALE,1
ALABAMA,AL,DOCTORATE,LEBANON,FEMALE,3
ALABAMA,AL,DOCTORATE,LEBANON,MALE,1
ALABAMA,AL,DOCTORATE,LIBERIA,FEMALE,1
ALABAMA,AL,DOCTORATE,LIBYA,MALE,1
ALABAMA,AL,DOCTORATE,MALAYSIA,MALE,1
ALABAMA,AL,DOCTORATE,MALI,FEMALE,1
ALABAMA,AL,DOCTORATE,MAURITIUS,MALE,1
ALABAMA,AL,DOCTORATE,MEXICO,MALE,2
ALABAMA,AL,DOCTORATE,NEPAL,FEMALE,17
ALABAMA,AL,DOCTORATE,NEPAL,MALE,68
ALABAMA,AL,DOCTORATE,NETHERLANDS,FEMALE,1
ALABAMA,AL,DOCTORATE,NETHERLANDS,MALE,1
ALABAMA,AL,DOCTORATE,NEW ZEALAND,MALE,1
ALABAMA,AL,DOCTORATE,NICARAGUA,MALE,1
ALABAMA,AL,DOCTORATE,NIGERIA,FEMALE,28
ALABAMA,AL,DOCTORATE,NIGERIA,MALE,68
ALABAMA,AL,DOCTORATE,PAKISTAN,FEMALE,2
ALABAMA,AL,DOCTORATE,PAKISTAN,MALE,15
ALABAMA,AL,DOCTORATE,PERU,MALE,1
ALABAMA,AL,DOCTORATE,PHILIPPINES,FEMALE,2
ALABAMA,AL,DOCTORATE,POLAND,FEMALE,1
ALABAMA,AL,DOCTORATE,POLAND,MALE,2
ALABAMA,AL,DOCTORATE,SOUTH KOREA,FEMALE,17
ALABAMA,AL,DOCTORATE,SOUTH KOREA,MALE,22
ALABAMA,AL,DOCTORATE,ROMANIA,FEMALE,1
ALABAMA,AL,DOCTORATE,RUSSIA,FEMALE,4
ALABAMA,AL,DOCTORATE,RUSSIA,MALE,3
ALABAMA,AL,DOCTORATE,RWANDA,FEMALE,2
ALABAMA,AL,DOCTORATE,SAUDI ARABIA,FEMALE,5
ALABAMA,AL,DOCTORATE,SAUDI ARABIA,MALE,22
ALABAMA,AL,DOCTORATE,SERBIA,FEMALE,1
ALABAMA,AL,DOCTORATE,SERBIA,MALE,1
ALABAMA,AL,DOCTORATE,SINGAPORE,FEMALE,1
ALABAMA,AL,DOCTORATE,SOUTH AFRICA,FEMALE,1
ALABAMA,AL,DOCTORATE,SOUTH AFRICA,MALE,1
ALABAMA,AL,DOCTORATE,SPAIN,FEMALE,2
ALABAMA,AL,DOCTORATE,SRI LANKA,FEMALE,9
ALABAMA,AL,DOCTORATE,SRI LANKA,MALE,5
ALABAMA,AL,DOCTORATE,SUDAN,FEMALE,1
ALABAMA,AL,DOCTORATE,SURINAME,FEMALE,1
ALABAMA,AL,DOCTORATE,SWITZERLAND,FEMALE,2
ALABAMA,AL,DOCTORATE,TAIWAN,FEMALE,6
ALABAMA,AL,DOCTORATE,TAIWAN,MALE,14
ALABAMA,AL,DOCTORATE,TANZANIA,FEMALE,3
ALABAMA,AL,DOCTORATE,TANZANIA,MALE,1
ALABAMA,AL,DOCTORATE,THAILAND,FEMALE,5
ALABAMA,AL,DOCTORATE,THAILAND,MALE,4
ALABAMA,AL,DOCTORATE,TURKEY,FEMALE,6
ALABAMA,AL,DOCTORATE,TURKEY,MALE,10
ALABAMA,AL,DOCTORATE,UGANDA,MALE,1
ALABAMA,AL,DOCTORATE,UKRAINE,FEMALE,1
ALABAMA,AL,DOCTORATE,UKRAINE,MALE,1
ALABAMA,AL,DOCTORATE,UNITED KINGDOM,MALE,5
ALABAMA,AL,DOCTORATE,VENEZUELA,MALE,2
ALABAMA,AL,DOCTORATE,VIETNAM,FEMALE,8
ALABAMA,AL,DOCTORATE,VIETNAM,MALE,22
ALABAMA,AL,DOCTORATE,WEST BANK,FEMALE,2
ALABAMA,AL,DOCTORATE,WEST BANK,MALE,1
ALABAMA,AL,DOCTORATE,ZAMBIA,MALE,1
ALABAMA,AL,MASTER'S,ARGENTINA,FEMALE,1
ALABAMA,AL,MASTER'S,AZERBAIJAN,MALE,1
ALABAMA,AL,MASTER'S,"BAHAMAS, THE",FEMALE,1
ALABAMA,AL,MASTER'S,BAHRAIN,FEMALE,1
ALABAMA,AL,MASTER'S,BANGLADESH,FEMALE,14
ALABAMA,AL,MASTER'S,BANGLADESH,MALE,28
ALABAMA,AL,MASTER'S,BARBADOS,MALE,1
ALABAMA,AL,MASTER'S,BOLIVIA,MALE,1
ALABAMA,AL,MASTER'S,BRAZIL,FEMALE,4
ALABAMA,AL,MASTER'S,BRAZIL,MALE,9
ALABAMA,AL,MASTER'S,CANADA,FEMALE,7
ALABAMA,AL,MASTER'S,CANADA,MALE,3
ALABAMA,AL,MASTER'S,CHILE,FEMALE,2
ALABAMA,AL,MASTER'S,CHINA,FEMALE,33
ALABAMA,AL,MASTER'S,CHINA,MALE,79
ALABAMA,AL,MASTER'S,COLOMBIA,FEMALE,3
ALABAMA,AL,MASTER'S,COLOMBIA,MALE,3
ALABAMA,AL,MASTER'S,COSTA RICA,MALE,2
ALABAMA,AL,MASTER'S,DOMINICA,FEMALE,1
ALABAMA,AL,MASTER'S,DOMINICAN REPUBLIC,MALE,1
ALABAMA,AL,MASTER'S,ECUADOR,FEMALE,1
ALABAMA,AL,MASTER'S,ECUADOR,MALE,1
ALABAMA,AL,MASTER'S,EGYPT,MALE,5
ALABAMA,AL,MASTER'S,EL SALVADOR,FEMALE,1
ALABAMA,AL,MASTER'S,EL SALVADOR,MALE,1
ALABAMA,AL,MASTER'S,FRANCE,MALE,3
ALABAMA,AL,MASTER'S,GERMANY,FEMALE,1
ALABAMA,AL,MASTER'S,GERMANY,MALE,3
ALABAMA,AL,MASTER'S,GHANA,FEMALE,4
ALABAMA,AL,MASTER'S,GHANA,MALE,8
ALABAMA,AL,MASTER'S,GUATEMALA,FEMALE,2
ALABAMA,AL,MASTER'S,GUATEMALA,MALE,3
ALABAMA,AL,MASTER'S,HAITI,MALE,2
ALABAMA,AL,MASTER'S,HONDURAS,FEMALE,3
ALABAMA,AL,MASTER'S,HONDURAS,MALE,7
ALABAMA,AL,MASTER'S,HONG KONG,FEMALE,1
ALABAMA,AL,MASTER'S,INDIA,FEMALE,293
ALABAMA,AL,MASTER'S,INDIA,MALE,761
ALABAMA,AL,MASTER'S,INDONESIA,FEMALE,1
ALABAMA,AL,MASTER'S,INDONESIA,MALE,2
ALABAMA,AL,MASTER'S,IRAN,FEMALE,3
ALABAMA,AL,MASTER'S,IRAN,MALE,1
ALABAMA,AL,MASTER'S,IRAQ,FEMALE,1
ALABAMA,AL,MASTER'S,ISRAEL,MALE,1
ALABAMA,AL,MASTER'S,ITALY,FEMALE,1
ALABAMA,AL,MASTER'S,ITALY,MALE,2
ALABAMA,AL,MASTER'S,JAMAICA,FEMALE,1
ALABAMA,AL,MASTER'S,JAMAICA,MALE,3
ALABAMA,AL,MASTER'S,JAPAN,FEMALE,1
ALABAMA,AL,MASTER'S,JAPAN,MALE,3
ALABAMA,AL,MASTER'S,JORDAN,FEMALE,2
ALABAMA,AL,MASTER'S,KAZAKHSTAN,MALE,3
ALABAMA,AL,MASTER'S,KENYA,FEMALE,7
ALABAMA,AL,MASTER'S,KENYA,MALE,11
ALABAMA,AL,MASTER'S,KUWAIT,MALE,1
ALABAMA,AL,MASTER'S,LEBANON,MALE,1
ALABAMA,AL,MASTER'S,LIBERIA,MALE,1
ALABAMA,AL,MASTER'S,MEXICO,MALE,1
ALABAMA,AL,MASTER'S,NEPAL,FEMALE,13
ALABAMA,AL,MASTER'S,NEPAL,MALE,21
ALABAMA,AL,MASTER'S,NETHERLANDS,FEMALE,1
ALABAMA,AL,MASTER'S,NICARAGUA,MALE,1
ALABAMA,AL,MASTER'S,NIGERIA,FEMALE,16
ALABAMA,AL,MASTER'S,NIGERIA,MALE,39
ALABAMA,AL,MASTER'S,NORWAY,FEMALE,1
ALABAMA,AL,MASTER'S,PAKISTAN,FEMALE,2
ALABAMA,AL,MASTER'S,PAKISTAN,MALE,31
ALABAMA,AL,MASTER'S,PHILIPPINES,MALE,1
ALABAMA,AL,MASTER'S,SOUTH KOREA,FEMALE,6
ALABAMA,AL,MASTER'S,SOUTH KOREA,MALE,17
ALABAMA,AL,MASTER'S,ROMANIA,FEMALE,1
ALABAMA,AL,MASTER'S,RUSSIA,MALE,1
ALABAMA,AL,MASTER'S,RWANDA,MALE,3
ALABAMA,AL,MASTER'S,SAUDI ARABIA,FEMALE,1
ALABAMA,AL,MASTER'S,SAUDI ARABIA,MALE,3
ALABAMA,AL,MASTER'S,SPAIN,FEMALE,2
ALABAMA,AL,MASTER'S,SPAIN,MALE,2
ALABAMA,AL,MASTER'S,SRI LANKA,FEMALE,1
ALABAMA,AL,MASTER'S,SRI LANKA,MALE,2
ALABAMA,AL,MASTER'S,SURINAME,FEMALE,1
ALABAMA,AL,MASTER'S,SWEDEN,FEMALE,2
ALABAMA,AL,MASTER'S,SWITZERLAND,FEMALE,1
ALABAMA,AL,MASTER'S,SYRIA,MALE,1
ALABAMA,AL,MASTER'S,TAIWAN,FEMALE,6
ALABAMA,AL,MASTER'S,TAIWAN,MALE,19
ALABAMA,AL,MASTER'S,TANZANIA,FEMALE,2
ALABAMA,AL,MASTER'S,TANZANIA,MALE,1
ALABAMA,AL,MASTER'S,THAILAND,FEMALE,5
ALABAMA,AL,MASTER'S,THAILAND,MALE,5
ALABAMA,AL,MASTER'S,TURKEY,FEMALE,1
ALABAMA,AL,MASTER'S,TURKEY,MALE,3
ALABAMA,AL,MASTER'S,UKRAINE,MALE,1
ALABAMA,AL,MASTER'S,UNITED ARAB EMIRATES,MALE,1
ALABAMA,AL,MASTER'S,UNITED KINGDOM,FEMALE,2
ALABAMA,AL,MASTER'S,VENEZUELA,FEMALE,1
ALABAMA,AL,MASTER'S,VIETNAM,FEMALE,6
ALABAMA,AL,MASTER'S,VIETNAM,MALE,5
ALABAMA,AL,MASTER'S,ZAMBIA,FEMALE,1
ALABAMA,AL,MASTER'S,ZAMBIA,MALE,1
ALABAMA,AL,OTHER,BANGLADESH,MALE,2
ALABAMA,AL,OTHER,BRAZIL,MALE,1
ALABAMA,AL,OTHER,CHINA,MALE,21
ALABAMA,AL,OTHER,GERMANY,MALE,1
ALABAMA,AL,OTHER,HONDURAS,FEMALE,1
ALABAMA,AL,OTHER,INDIA,FEMALE,4
ALABAMA,AL,OTHER,INDIA,MALE,9
ALABAMA,AL,OTHER,KYRGYZSTAN,MALE,1
ALABAMA,AL,OTHER,MEXICO,MALE,1
ALABAMA,AL,OTHER,NIGERIA,MALE,1
ALABAMA,AL,OTHER,PAKISTAN,MALE,1
ALABAMA,AL,OTHER,SOUTH KOREA,FEMALE,1
ALABAMA,AL,OTHER,SOUTH KOREA,MALE,2
ALABAMA,AL,OTHER,SAUDI ARABIA,MALE,1
ALABAMA,AL,OTHER,TAIWAN,MALE,2
ALABAMA,AL,OTHER,THAILAND,FEMALE,1
ALABAMA,AL,OTHER,THAILAND,MALE,2
ALABAMA,AL,OTHER,UKRAINE,MALE,1
ALABAMA,AL,OTHER,UZBEKISTAN,MALE,1
ALABAMA,AL,OTHER,VIETNAM,FEMALE,1
ALABAMA,AL,OTHER,VIETNAM,MALE,3
ALASKA,AK,ASSOCIATE,SOUTH KOREA,MALE,1
ALASKA,AK,ASSOCIATE,VIETNAM,MALE,1
ALASKA,AK,BACHELOR'S,AUSTRALIA,FEMALE,1
ALASKA,AK,BACHELOR'S,CANADA,FEMALE,5
ALASKA,AK,BACHELOR'S,CANADA,MALE,5
ALASKA,AK,BACHELOR'S,CHINA,FEMALE,1
ALASKA,AK,BACHELOR'S,CHINA,MALE,4
