State,Abbreviation,Education Level,Country of Citizenship,Gender,Active Number of Students
ALABAMA,AL,DOCTORATE,SAINT LUCIA,FEMALE,5
ALABAMA,AL,DOCTORATE,SAUDI ARABIA,FEMALE,4
ALABAMA,AL,DOCTORATE,SAUDI ARABIA,MALE,15
ALABAMA,AL,DOCTORATE,SOUTH AFRICA,FEMALE,1
ALABAMA,AL,DOCTORATE,SOUTH KOREA,FEMALE,16
ALABAMA,AL,DOCTORATE,SOUTH KOREA,MALE,16
ALABAMA,AL,DOCTORATE,SPAIN,FEMALE,1
ALABAMA,AL,DOCTORATE,SPAIN,MALE,2
ALABAMA,AL,DOCTORATE,SRI LANKA,FEMALE,4
ALABAMA,AL,DOCTORATE,SRI LANKA,MALE,5
ALABAMA,AL,DOCTORATE,SUDAN,MALE,1
ALABAMA,AL,DOCTORATE,TAIWAN,FEMALE,2
ALABAMA,AL,DOCTORATE,TAIWAN,MALE,8
ALABAMA,AL,DOCTORATE,TAJIKISTAN,MALE,1
ALABAMA,AL,DOCTORATE,THAILAND,FEMALE,1
ALABAMA,AL,DOCTORATE,TRINIDAD AND TOBAGO,MALE,1
ALABAMA,AL,DOCTORATE,TURKEY,FEMALE,3
ALABAMA,AL,DOCTORATE,TURKEY,MALE,8
ALABAMA,AL,DOCTORATE,UGANDA,MALE,1
ALABAMA,AL,DOCTORATE,UKRAINE,FEMALE,2
ALABAMA,AL,DOCTORATE,UKRAINE,MALE,1
ALABAMA,AL,DOCTORATE,VENEZUELA,FEMALE,2
ALABAMA,AL,DOCTORATE,VENEZUELA,MALE,2
ALABAMA,AL,DOCTORATE,VIETNAM,FEMALE,1
ALABAMA,AL,DOCTORATE,VIETNAM,MALE,10
ALABAMA,AL,DOCTORATE,WEST BANK,FEMALE,1
ALABAMA,AL,DOCTORATE,ZAMBIA,MALE,1
ALABAMA,AL,DOCTORATE,ZIMBABWE,MALE,1
ALABAMA,AL,LANGUAGE TRAINING,YEMEN,MALE,1
ALABAMA,AL,MASTER'S,AZERBAIJAN,MALE,1
ALABAMA,AL,MASTER'S,"BAHAMAS, THE",FEMALE,2
ALABAMA,AL,MASTER'S,"BAHAMAS, THE",MALE,1
ALABAMA,AL,MASTER'S,BANGLADESH,FEMALE,11
ALABAMA,AL,MASTER'S,BANGLADESH,MALE,34
ALABAMA,AL,MASTER'S,BELARUS,MALE,1
ALABAMA,AL,MASTER'S,BELIZE,FEMALE,1
ALABAMA,AL,MASTER'S,BRAZIL,MALE,2
ALABAMA,AL,MASTER'S,CAMEROON,FEMALE,1
ALABAMA,AL,MASTER'S,CAMEROON,MALE,1
ALABAMA,AL,MASTER'S,CANADA,FEMALE,2
ALABAMA,AL,MASTER'S,CHINA,FEMALE,92
ALABAMA,AL,MASTER'S,CHINA,MALE,174
ALABAMA,AL,MASTER'S,COLOMBIA,FEMALE,1
ALABAMA,AL,MASTER'S,COLOMBIA,MALE,1
ALABAMA,AL,MASTER'S,COTE D'IVOIRE,FEMALE,1
ALABAMA,AL,MASTER'S,CUBA,MALE,1
ALABAMA,AL,MASTER'S,ECUADOR,FEMALE,1
ALABAMA,AL,MASTER'S,ECUADOR,MALE,1
ALABAMA,AL,MASTER'S,EGYPT,FEMALE,1
ALABAMA,AL,MASTER'S,EGYPT,MALE,3
ALABAMA,AL,MASTER'S,ETHIOPIA,MALE,3
ALABAMA,AL,MASTER'S,GERMANY,FEMALE,1
ALABAMA,AL,MASTER'S,GERMANY,MALE,3
ALABAMA,AL,MASTER'S,GHANA,FEMALE,4
ALABAMA,AL,MASTER'S,GHANA,MALE,4
ALABAMA,AL,MASTER'S,GREECE,MALE,2
ALABAMA,AL,MASTER'S,HONDURAS,MALE,1
ALABAMA,AL,MASTER'S,ICELAND,MALE,3
ALABAMA,AL,MASTER'S,INDIA,FEMALE,240
ALABAMA,AL,MASTER'S,INDIA,MALE,729
ALABAMA,AL,MASTER'S,INDONESIA,MALE,1
ALABAMA,AL,MASTER'S,IRAN,FEMALE,5
ALABAMA,AL,MASTER'S,IRAN,MALE,8
ALABAMA,AL,MASTER'S,JAMAICA,MALE,5
ALABAMA,AL,MASTER'S,JAPAN,MALE,2
ALABAMA,AL,MASTER'S,JORDAN,FEMALE,1
ALABAMA,AL,MASTER'S,JORDAN,MALE,2
ALABAMA,AL,MASTER'S,KENYA,FEMALE,1
ALABAMA,AL,MASTER'S,KUWAIT,MALE,1
ALABAMA,AL,MASTER'S,LEBANON,MALE,1
ALABAMA,AL,MASTER'S,MALI,FEMALE,1
ALABAMA,AL,MASTER'S,MEXICO,MALE,2
ALABAMA,AL,MASTER'S,NEPAL,FEMALE,9
ALABAMA,AL,MASTER'S,NEPAL,MALE,33
ALABAMA,AL,MASTER'S,NIGERIA,FEMALE,7
ALABAMA,AL,MASTER'S,NIGERIA,MALE,16
ALABAMA,AL,MASTER'S,PAKISTAN,MALE,6
ALABAMA,AL,MASTER'S,PHILIPPINES,MALE,1
ALABAMA,AL,MASTER'S,POLAND,MALE,1
ALABAMA,AL,MASTER'S,RUSSIA,FEMALE,1
ALABAMA,AL,MASTER'S,RUSSIA,MALE,1
ALABAMA,AL,MASTER'S,RWANDA,MALE,1
ALABAMA,AL,MASTER'S,SAUDI ARABIA,FEMALE,35
ALABAMA,AL,MASTER'S,SAUDI ARABIA,MALE,53
ALABAMA,AL,MASTER'S,SOUTH AFRICA,MALE,1
ALABAMA,AL,MASTER'S,SOUTH KOREA,FEMALE,1
ALABAMA,AL,MASTER'S,SOUTH KOREA,MALE,5
ALABAMA,AL,MASTER'S,SPAIN,FEMALE,1
ALABAMA,AL,MASTER'S,SPAIN,MALE,1
ALABAMA,AL,MASTER'S,SRI LANKA,MALE,1
ALABAMA,AL,MASTER'S,SUDAN,MALE,2
ALABAMA,AL,MASTER'S,TAIWAN,FEMALE,2
ALABAMA,AL,MASTER'S,TAIWAN,MALE,3
ALABAMA,AL,MASTER'S,TAJIKISTAN,MALE,1
ALABAMA,AL,MASTER'S,THAILAND,MALE,3
ALABAMA,AL,MASTER'S,TUNISIA,FEMALE,1
ALABAMA,AL,MASTER'S,TUNISIA,MALE,1
